id,content,type,category
344,How do you stay motivated with solitude?,question,general
345,What's interesting about risk?,question,general
346,How important is friendship to you?,question,relationships
347,What do you think about sports?,question,opinions
348,What's your take on crafts?,question,general
349,What's your relationship with discovery?,question,relationships
350,How important is success to you?,question,general
351,What role does photography play in your life?,question,general
352,How important is courage to you?,question,general
353,What's interesting about communities?,question,general
354,How do you share traditions with others?,question,general
355,How would you describe spontaneity?,question,hypothetical
356,What's rewarding about success?,question,general
357,What role does innovation play in your life?,question,general
358,How would you describe balance?,question,hypothetical
359,Tell me about festivals,statement,general_statement
360,What's your experience with sports?,question,general
361,How do you feel about challenges?,question,opinions
362,What's your favorite challenges?,question,preferences
363,What's interesting about gardening?,question,general
364,What makes you laugh the most?,question,general
365,What's your favorite mountains?,question,preferences
366,What's surprising about festivals?,question,general
367,What's your relationship with creativity?,question,food
368,What advice would you give about drawing?,question,hypothetical
369,What role does puzzles play in your life?,question,general
370,What's challenging about creativity?,question,food
371,Tell me about crafts,statement,general_statement
372,What's your relationship with festivals?,question,relationships
373,What advice would you give about honesty?,question,hypothetical
374,How would you describe communities?,question,hypothetical
375,My commute was surprisingly smooth,statement,general_statement
376,What's interesting about cooking?,question,food
377,What advice would you give about creativity?,question,hypothetical
378,What's challenging about writing?,question,general
379,How do you stay motivated with comfort?,question,general
380,Do you prefer books or movies?,question,preferences
381,How important is work to you?,question,career
382,How do you share adventure with others?,question,general
383,How do you feel about singing?,question,opinions
384,What's your take on patience?,question,general
385,How important is wisdom to you?,question,general
386,I'm interested in psychology,statement,personal_preferences
387,I've been wondering about other cultures,statement,thoughts_reflection
388,How would you describe dreams?,question,hypothetical
389,I want to be more spontaneous,statement,future_plans
390,Do you have any dietary restrictions?,question,general
391,What's your experience with growth?,question,general
392,Tell me about running,statement,general_statement
393,How important is mountains to you?,question,general
394,What do you think about work?,question,opinions
395,I'm feeling really good today,statement,emotional_expression
396,What's surprising about learning?,question,general
397,What's challenging about art?,question,general
398,How do you approach patience?,question,general
399,How do you stay motivated with puzzles?,question,general
400,What's rewarding about movies?,question,entertainment
401,What's surprising about happiness?,question,general
402,How would you describe running?,question,hypothetical
403,What's your favorite games?,question,preferences
404,What's surprising about yoga?,question,general
405,How has companionship influenced you?,question,general
406,What's interesting about wisdom?,question,general
407,How has photography influenced you?,question,general
408,What's your goal with discovery?,question,general
409,I've been thinking about creativity,statement,thoughts_reflection
410,What's your goal with photography?,question,general
411,How important is running to you?,question,general
412,I'm not a fan of crowded places,statement,general_statement
413,What's your relationship with cooking?,question,food
414,What advice would you give about chess?,question,hypothetical
415,What's interesting about goals?,question,general
416,What role does communities play in your life?,question,general
417,What advice would you give about growth?,question,hypothetical
418,What's your take on movies?,question,entertainment
419,How would you describe travel?,question,hypothetical
420,How do you feel about kindness?,question,opinions
421,What motivates you?,question,general
422,What's your relationship with concerts?,question,relationships
423,What's interesting about honesty?,question,general
424,I'm learning a new skill,statement,general_statement
425,How would you describe nature?,question,hypothetical
426,Do you drink alcohol?,question,general
427,How do you approach photography?,question,general
428,Do you prefer road trips or flying?,question,preferences
429,I want to learn a musical instrument,statement,future_plans
430,What do you think about learning?,question,opinions
431,What advice would you give about volunteering?,question,hypothetical
432,How do you approach travel?,question,travel
433,What's your favorite running?,question,preferences
434,What's your favorite traditions?,question,preferences
435,What's challenging about loyalty?,question,general
436,How has art influenced you?,question,general
437,How important is independence to you?,question,general
438,How do you feel about memories?,question,opinions
439,I'm having a rough day,statement,general_statement
440,What advice would you give about reading?,question,hypothetical
441,How do you approach companionship?,question,general
442,How would you describe podcasts?,question,hypothetical
443,What advice would you give about photography?,question,hypothetical
444,What's your relationship with balance?,question,relationships
445,What's rewarding about swimming?,question,general
446,How important is photography to you?,question,general
447,What's interesting about solitude?,question,general
448,What advice would you give about family?,question,hypothetical
449,What's your goal with swimming?,question,general
450,How do you share sports with others?,question,general
451,What do you think about solitude?,question,opinions
452,What's your opinion on self-help books?,question,opinions
453,Do you like to paint or draw?,question,preferences
454,What advice would you give about music?,question,hypothetical
455,What's rewarding about games?,question,general
456,What's your goal with festivals?,question,general
457,I'm considering going back to school,statement,thoughts_reflection
458,How do you stay motivated with hiking?,question,general
459,What's your relationship with challenges?,question,relationships
460,What's surprising about meditation?,question,general
461,How has pets influenced you?,question,general
462,How would you describe music?,question,hypothetical
463,How do you feel about exercise?,question,opinions
464,"If you were stranded on a desert island, what three things would you want?",question,hypothetical
465,How do you approach balance?,question,general
466,Do you prefer to plan your day or go with the flow?,question,preferences
467,What's your favorite art?,question,preferences
468,"If you could live anywhere in the world, where would you choose?",question,hypothetical
469,What's your ideal creative space?,question,food
470,I love the peace of nature,statement,personal_preferences
471,How do you share volunteering with others?,question,general
472,How do you feel about nature?,question,opinions
473,What's your take on cards?,question,general
474,What's your experience with cities?,question,general
475,How important is music to you?,question,entertainment
476,How do you feel about family?,question,opinions
477,What's something positive you see happening in the world?,question,general
478,How do you feel about running?,question,opinions
479,How do you approach parks?,question,general
480,How do you feel about museums?,question,opinions
481,What's your take on growth?,question,general
482,I'm planning to reconnect with old friends,statement,future_plans
483,Tell me about beaches,statement,general_statement
484,Did you enjoy school trips?,question,travel
485,How do you share independence with others?,question,general
486,What role does meditation play in your life?,question,general
487,What's your favorite innovation?,question,preferences
488,What's your opinion on small talk?,question,opinions
489,What advice would you give about traditions?,question,hypothetical
490,What role does adventure play in your life?,question,general
491,What's your take on work?,question,career
492,How important is cards to you?,question,general
493,What advice would you give about patience?,question,hypothetical
494,What's your favorite cities?,question,preferences
495,How do you stay motivated with crafts?,question,general
496,What's your experience with traditions?,question,general
497,What's your favorite cooking?,question,preferences
498,What advice would you give about puzzles?,question,hypothetical
499,Tell me about independence,statement,general_statement
500,What do you think about loyalty?,question,opinions
501,How do you approach wonder?,question,general
502,What advice would you give about risk?,question,hypothetical
503,How would you describe technology?,question,hypothetical
504,Do you enjoy hiking?,question,general
505,What advice would you give about writing?,question,hypothetical
506,What's your take on technology?,question,general
507,How do you feel about friendship?,question,opinions
508,What do you think about mountains?,question,opinions
509,What's your goal with chess?,question,general
510,What's your relationship with communities?,question,relationships
511,How do you stay motivated with games?,question,general
512,What's your relationship with beaches?,question,relationships
513,What's rewarding about curiosity?,question,general
514,What's your goal with patience?,question,general
515,What do you think about adventure?,question,opinions
516,How do you share museums with others?,question,general
517,I'm considering moving to a new city,statement,thoughts_reflection
518,What do you think about pets?,question,opinions
519,Tell me about loyalty,statement,general_statement
520,What's challenging about festivals?,question,general
521,How has challenges influenced you?,question,general
522,What's your relationship with hobbies?,question,relationships
523,What's your favorite way to spend a weekend?,question,preferences
524,What role does dancing play in your life?,question,general
525,How important is memories to you?,question,general
526,How important is comfort to you?,question,general
527,Do you believe in luck?,question,opinions
528,What's interesting about companionship?,question,general
529,How do you approach honesty?,question,general
530,What's your favorite success?,question,preferences
531,What's your favorite memory from this year?,question,preferences
532,How do you prefer to meet new people?,question,preferences
533,How important is festivals to you?,question,general
534,What advice would you give about learning?,question,hypothetical
535,How do you feel about cooking?,question,opinions
536,What's your typical evening routine?,question,daily_life
537,What did you want to be when you grew up?,question,general
538,Do you enjoy cooking?,question,food
539,How do you stay motivated with innovation?,question,general
540,Do you have a favorite TV show?,question,preferences
541,What advice would you give about happiness?,question,hypothetical
542,I cleaned out my closet today,statement,daily_experience
543,What's your relationship with wonder?,question,relationships
544,What advice would you give about beaches?,question,hypothetical
545,How do you share success with others?,question,general
546,Tell me about kindness,statement,general_statement
547,How do you feel about gardening?,question,opinions
548,What's your take on independence?,question,general
549,What's the most adventurous thing you've done while traveling?,question,travel
550,What's challenging about independence?,question,general
551,What's your favorite comfort food?,question,preferences
552,How do you stay motivated with change?,question,general
553,What's your favorite swimming?,question,preferences
554,How has traditions influenced you?,question,general
555,How do you stay motivated with yoga?,question,general
556,Tell me about cycling,statement,general_statement
557,What do you think about memories?,question,opinions
558,What role does pets play in your life?,question,general
559,Tell me about music,statement,general_statement
560,Do you think technology makes life better or worse?,question,opinions
561,What's surprising about success?,question,general
562,I tried something outside my comfort zone,statement,experiences
563,What's your favorite snack?,question,preferences
564,I prefer collaborative work environments,statement,personal_preferences
565,Do you think money can buy happiness?,question,opinions
566,What's challenging about wonder?,question,general
567,What's your favorite way to relax?,question,preferences
568,What role does swimming play in your life?,question,general
569,What role does books play in your life?,question,entertainment
570,How important is nature to you?,question,general
571,What's rewarding about parks?,question,general
572,Tell me about dancing,statement,general_statement
573,What role does cities play in your life?,question,general
574,Tell me about cities,statement,general_statement
575,What's your favorite dessert?,question,preferences
576,What's challenging about reading?,question,general
577,I had an unexpected encounter,statement,experiences
578,How do you stay motivated with travel?,question,travel
579,How would you describe kindness?,question,hypothetical
580,What role does curiosity play in your life?,question,general
581,How important is growth to you?,question,general
582,What's challenging about puzzles?,question,general
583,What's challenging about discovery?,question,general
584,I learned something surprising,statement,experiences
585,What's rewarding about loyalty?,question,general
586,What's your experience with photography?,question,general
587,Tell me about libraries,statement,general_statement
588,How do you stay motivated with happiness?,question,general
589,What's your experience with dancing?,question,general
590,How do you feel about travel?,question,opinions
591,I've been gardening lately,statement,daily_experience
592,How do you stay motivated with communities?,question,general
593,What role does wisdom play in your life?,question,general
594,How has concerts influenced you?,question,general
595,What do you think about parks?,question,opinions
596,How do you share peace with others?,question,general
597,How has technology influenced you?,question,general
598,What's surprising about technology?,question,general
599,How has change influenced you?,question,general
600,How would you describe cooking?,question,hypothetical
601,What do you think about success?,question,opinions
602,What's your favorite dancing?,question,preferences
603,I'm planning a trip,statement,future_plans
604,What's your goal with goals?,question,general
605,What role does challenges play in your life?,question,general
606,How would you describe yoga?,question,hypothetical
607,What's your relationship with independence?,question,relationships
608,What's your favorite ice cream flavor?,question,preferences
609,What's your experience with nature?,question,general
610,What's your goal with podcasts?,question,general
611,What's something you've always wanted to try?,question,general
612,How do you approach puzzles?,question,general
613,What's challenging about curiosity?,question,general
614,What's your take on exercise?,question,general
615,How do you approach friendship?,question,relationships
616,I had a really productive day at work,statement,experiences
617,How do you share patience with others?,question,general
618,What's challenging about peace?,question,general
619,What's your take on travel?,question,travel
620,What do you think about family?,question,opinions
621,Tell me about goals,statement,general_statement
622,What role does sports play in your life?,question,general
623,What's your favorite music?,question,preferences
624,How has cycling influenced you?,question,general
625,I had a great conversation with a friend,statement,experiences
626,How do you stay motivated with work?,question,career
627,I'm thinking about personal growth,statement,thoughts_reflection
628,What do you think about running?,question,opinions
629,What's interesting about movies?,question,entertainment
630,How do you stay motivated with peace?,question,general
631,I had a job interview today,statement,daily_experience
632,How has games influenced you?,question,general
633,What role does discovery play in your life?,question,general
634,What's surprising about peace?,question,general
635,What's the most beautiful place you've ever visited?,question,travel
636,What's your goal with balance?,question,general
637,What do you think about books?,question,opinions
638,What's your relationship with pets?,question,relationships
639,What's interesting about exercise?,question,general
640,What role does companionship play in your life?,question,general
641,What do you think about challenges?,question,opinions
642,What's your favorite quote?,question,preferences
643,How do you approach risk?,question,general
644,I'm so happy right now,statement,emotional_expression
645,How do you approach volunteering?,question,general
646,How do you show appreciation to others?,question,entertainment
647,How would you describe creativity?,question,hypothetical
648,What's rewarding about chess?,question,general
649,What's your take on solitude?,question,general
650,What advice would you give about success?,question,hypothetical
651,What's your relationship with technology?,question,relationships
652,Do you still listen to the radio?,question,general
653,How do you feel about festivals?,question,opinions
654,I've been reflecting on my childhood,statement,thoughts_reflection
655,What's your goal with movies?,question,entertainment
656,What's challenging about dancing?,question,general
657,What's your take on risk?,question,general
658,What's your relationship with growth?,question,relationships
659,What's your experience with music?,question,entertainment
660,How has patience influenced you?,question,general
661,What's interesting about technology?,question,general
662,What's your relationship with museums?,question,relationships
663,What's your take on sports?,question,general
664,I've been reflecting on what I value most,statement,thoughts_reflection
665,I'm really proud of myself today,statement,emotional_expression
666,What's interesting about music?,question,entertainment
667,What role does singing play in your life?,question,general
668,I tried cooking something new,statement,experiences
669,What's surprising about puzzles?,question,general
670,Do you prefer comedies or dramas?,question,preferences
671,I'm fascinated by different cultures,statement,personal_preferences
672,What's surprising about concerts?,question,general
673,What's surprising about writing?,question,general
674,What's interesting about cycling?,question,general
675,How do you approach libraries?,question,general
676,Do you enjoy dancing?,question,general
677,Do you enjoy trying new restaurants?,question,food
678,I want to practice mindfulness more,statement,future_plans
679,What's surprising about drawing?,question,general
680,What's your goal with family?,question,relationships
681,How do you feel about balance?,question,opinions
682,What's your favorite hiking?,question,preferences
683,I've been pondering life's big questions,statement,thoughts_reflection
684,How do you share crafts with others?,question,general
685,What's your favorite color?,question,preferences
686,What's your favorite type of music?,question,preferences
687,What's your favorite fruit?,question,preferences
688,What's your experience with peace?,question,general
689,How do you share loyalty with others?,question,general
690,What's your biggest goal?,question,general
691,What's your favorite courage?,question,preferences
692,What advice would you give about discovery?,question,hypothetical
693,What do you think about curiosity?,question,opinions
694,What's surprising about curiosity?,question,general
695,I want to be more environmentally conscious,statement,future_plans
696,How do you feel about growth?,question,opinions
697,What's your take on cities?,question,general
698,What advice would you give about technology?,question,hypothetical
699,What's your goal with yoga?,question,general
700,What's your take on photography?,question,general
701,I attended a workshop that was really helpful,statement,experiences
702,I'm considering volunteering more,statement,thoughts_reflection
703,How would you describe solitude?,question,hypothetical
704,Tell me about patience,statement,general_statement
705,How has growth influenced you?,question,general
706,What role does traditions play in your life?,question,general
707,How would you describe concerts?,question,hypothetical
708,What do you think about singing?,question,opinions
709,What's your take on routine?,question,daily_life
710,Do you like puzzles?,question,preferences
711,How do you approach happiness?,question,general
712,What's rewarding about books?,question,entertainment
713,How has spontaneity influenced you?,question,general
714,What's your relationship with travel?,question,travel
715,How important is exercise to you?,question,general
716,Have you ever been on a cruise?,question,general
717,I'm feeling quite optimistic,statement,emotional_expression
718,How do you feel about happiness?,question,opinions
719,What's surprising about innovation?,question,general
720,What's interesting about hobbies?,question,general
721,I'm not feeling great today,statement,emotional_expression
722,How do you approach family?,question,relationships
723,I'm fascinated by history,statement,personal_preferences
724,What's your go-to breakfast?,question,general
725,"If you could be any animal, what would you choose?",question,hypothetical
726,How do you handle disagreements?,question,general
727,How do you feel about success?,question,opinions
728,What's your relationship with cards?,question,relationships
729,How do you share growth with others?,question,general
730,How do you make important decisions?,question,general
731,Tell me about hiking,statement,general_statement
732,What's your goal with games?,question,general
733,What's your experience with dreams?,question,general
734,Tell me about hobbies,statement,general_statement
735,How do you stay motivated with courage?,question,general
736,What do you think about travel?,question,opinions
737,How do you approach podcasts?,question,general
738,What's your favorite board game?,question,preferences
739,How has museums influenced you?,question,general
740,What's challenging about change?,question,general
741,What's your favorite way to help others?,question,preferences
742,What's your dream job?,question,career
743,Tell me something interesting about your day,statement,experiences
744,What advice would you give about friendship?,question,hypothetical
745,What's your experience with cards?,question,general
746,How would you describe writing?,question,hypothetical
747,What role does cycling play in your life?,question,general
748,How would you describe hobbies?,question,hypothetical
749,What's your favorite way to be creative?,question,preferences
750,What's surprising about risk?,question,general
751,How do you feel about honesty?,question,opinions
752,What's surprising about work?,question,career
753,What's surprising about dancing?,question,general
754,What do you think about comfort?,question,opinions
755,What's your favorite meditation?,question,preferences
756,How do you share gardening with others?,question,general
757,How do you share cycling with others?,question,general
758,"If you could live in any historical period, when would you choose?",question,hypothetical
759,How important is patience to you?,question,general
760,What's challenging about routine?,question,daily_life
761,What's your goal with curiosity?,question,general
762,How do you feel about drawing?,question,opinions
